Country,Time,Tourists
Germany,1990-01,10390910
Germany,1990-02,11560175
Germany,1990-03,13534924
Germany,1990-04,17092105
Germany,1990-05,22165486
Germany,1990-06,25243328
Germany,1990-07,31316110
Germany,1990-08,31500152
Germany,1990-09,26077755
Germany,1990-10,21838162
Germany,1990-11,12071958
Germany,1990-12,11473725
Germany,1991-01,13679586
Germany,1991-02,14982265
Germany,1991-03,18700207
Germany,1991-04,19627852
Germany,1991-05,25246429
Germany,1991-06,26333501
Germany,1991-07,30538466
Germany,1991-08,31859241
Germany,1991-09,29057898
Germany,1991-10,25813056
Germany,1991-11,15627642
Germany,1991-12,14398674
Germany,1992-01,15186000
Germany,1992-02,17551000
Germany,1992-03,19660000
Germany,1992-04,23807000
Germany,1992-05,29707000
Germany,1992-06,33057000
Germany,1992-07,41603000
Germany,1992-08,41653000
Germany,1992-09,33555000
Germany,1992-10,28814000
Germany,1992-11,17061000
Germany,1992-12,16015000
Germany,1993-01,15767932
Germany,1993-02,17471596
Germany,1993-03,20075185
Germany,1993-04,23322263
Germany,1993-05,30319710
Germany,1993-06,32319807
Germany,1993-07,39875201
Germany,1993-08,39913639
Germany,1993-09,32496520
Germany,1993-10,27365912
Germany,1993-11,16746590
Germany,1993-12,15400597
Germany,1994-01,15910766
Germany,1994-02,17535828
Germany,1994-03,20487225
Germany,1994-04,22754742
Germany,1994-05,30582597
Germany,1994-06,31444128
Germany,1994-07,39904388
Germany,1994-08,39474008
Germany,1994-09,32728836
Germany,1994-10,28267252
Germany,1994-11,17615229
Germany,1994-12,16279272
Germany,1995-01,12851590
Germany,1995-02,14200408
Germany,1995-03,16009731
Germany,1995-04,20235970
Germany,1995-05,25985042
Germany,1995-06,28637652
Germany,1995-07,36716542
Germany,1995-08,35169580
Germany,1995-09,28995855
Germany,1995-10,24592748
Germany,1995-11,13821887
Germany,1995-12,13244230
Germany,1996-01,12465610
Germany,1996-02,14423841
Germany,1996-03,16242054
Germany,1996-04,19572201
Germany,1996-05,26305420
Germany,1996-06,28051330
Germany,1996-07,36310921
Germany,1996-08,34542112
Germany,1996-09,28500317
Germany,1996-10,25063983
Germany,1996-11,14347099
Germany,1996-12,13487929
Germany,1997-01,12650229
Germany,1997-02,13915522
Germany,1997-03,16952189
Germany,1997-04,18460258
Germany,1997-05,27023694
Germany,1997-06,27243431
Germany,1997-07,34576643
Germany,1997-08,37020067
Germany,1997-09,29209956
Germany,1997-10,25202982
Germany,1997-11,13854464
Germany,1997-12,13530176
Germany,1998-01,12437296
Germany,1998-02,14196390
Germany,1998-03,15864086
Germany,1998-04,19750130
Germany,1998-05,27281878
Germany,1998-06,27741120
Germany,1998-07,33805559
Germany,1998-08,38416473
Germany,1998-09,29329224
Germany,1998-10,25403197
Germany,1998-11,14413030
Germany,1998-12,14086516
Germany,1999-01,13282568
Germany,1999-02,14983266
Germany,1999-03,17076662
Germany,1999-04,20300719
Germany,1999-05,27903382
Germany,1999-06,28577070
Germany,1999-07,35936107
Germany,1999-08,39137605
Germany,1999-09,30357622
Germany,1999-10,26600541
Germany,1999-11,15569246
Germany,1999-12,14669938
Germany,2000-01,14177550
Germany,2000-02,15710108
Germany,2000-03,17489070
Germany,2000-04,22248690
Germany,2000-05,27251272
Germany,2000-06,32101845
Germany,2000-07,37653952
Germany,2000-08,39435679
Germany,2000-09,32570060
Germany,2000-10,27032597
Germany,2000-11,16405255
Germany,2000-12,15734755
Germany,2001-01,14637833
Germany,2001-02,15836825
Germany,2001-03,18314641
Germany,2001-04,22596947
Germany,2001-05,28621743
Germany,2001-06,30610120
Germany,2001-07,38801626
Germany,2001-08,38894126
Germany,2001-09,30876663
Germany,2001-10,27070483
Germany,2001-11,16496338
Germany,2001-12,15627513
Germany,2002-01,14174276
Germany,2002-02,15665992
Germany,2002-03,18718162
Germany,2002-04,20560515
Germany,2002-05,28945441
Germany,2002-06,29350328
Germany,2002-07,37143578
Germany,2002-08,37598855
Germany,2002-09,30303128
Germany,2002-10,26671359
Germany,2002-11,15969512
Germany,2002-12,15470719
Germany,2003-01,13930440
Germany,2003-02,14775755
Germany,2003-03,17650909
Germany,2003-04,21783436
Germany,2003-05,28597358
Germany,2003-06,30523871
Germany,2003-07,35815448
Germany,2003-08,40406563
Germany,2003-09,31107997
Germany,2003-10,27012912
Germany,2003-11,16139113
Germany,2003-12,15684621
Germany,2004-01,16982091
Germany,2004-02,19407363
Germany,2004-03,22049186
Germany,2004-04,25858612
Germany,2004-05,33644023
Germany,2004-06,33521687
Germany,2004-07,39865556
Germany,2004-08,43315254
Germany,2004-09,35085184
Germany,2004-10,31141093
Germany,2004-11,20147513
Germany,2004-12,18662193
Germany,2005-01,18509349
Germany,2005-02,19595192
Germany,2005-03,23647073
Germany,2005-04,24206546
Germany,2005-05,33710144
Germany,2005-06,32875591
Germany,2005-07,40798597
Germany,2005-08,44143730
Germany,2005-09,35707253
Germany,2005-10,31919055
Germany,2005-11,20618124
Germany,2005-12,19333888
Germany,2006-01,18696776
Germany,2006-02,19778936
Germany,2006-03,22202966
Germany,2006-04,26931693
Germany,2006-05,32762326
Germany,2006-06,35334423
Germany,2006-07,41553352
Germany,2006-08,43199564
Germany,2006-09,37403967
Germany,2006-10,32761707
Germany,2006-11,21341345
Germany,2006-12,20645248
Germany,2007-01,18786226
Germany,2007-02,20313599
Germany,2007-03,23717552
Germany,2007-04,28198864
Germany,2007-05,33577308
Germany,2007-06,35847110
Germany,2007-07,42722973
Germany,2007-08,44675848
Germany,2007-09,37680131
Germany,2007-10,33234327
Germany,2007-11,22685358
Germany,2007-12,21333636
Germany,2008-01,16445640
Germany,2008-02,18528072
Germany,2008-03,21654046
Germany,2008-04,22735727
Germany,2008-05,33127457
Germany,2008-06,31140895
Germany,2008-07,40554395
Germany,2008-08,40481991
Germany,2008-09,33446815
Germany,2008-10,30097793
Germany,2008-11,18636976
Germany,2008-12,18164267
Germany,2009-01,15217297
Germany,2009-02,16661136
Germany,2009-03,18631346
Germany,2009-04,23470733
Germany,2009-05,30926547
Germany,2009-06,31105265
Germany,2009-07,40201535
Germany,2009-08,40825169
Germany,2009-09,32437728
Germany,2009-10,29121100
Germany,2009-11,17652347
Germany,2009-12,17893853
Germany,2010-01,15187910
Germany,2010-02,16926508
Germany,2010-03,19727756
Germany,2010-04,23879801
Germany,2010-05,31471747
Germany,2010-06,32526896
Germany,2010-07,42048626
Germany,2010-08,41682276
Germany,2010-09,33940094
Germany,2010-10,30639909
Germany,2010-11,19269303
Germany,2010-12,18189888
Germany,2011-01,16315059
Germany,2011-02,17127671
Germany,2011-03,20496478
Germany,2011-04,26680271
Germany,2011-05,30433396
Germany,2011-06,36421978
Germany,2011-07,42413606
Germany,2011-08,42720921
Germany,2011-09,35026465
Germany,2011-10,31890338
Germany,2011-11,20330920
Germany,2011-12,19164363
Germany,2012-01,17259651
Germany,2012-02,18916243
Germany,2012-03,22226883
Germany,2012-04,27488029
Germany,2012-05,33923648
Germany,2012-06,34643820
Germany,2012-07,42279467
Germany,2012-08,44513846
Germany,2012-09,36430512
Germany,2012-10,31702181
Germany,2012-11,20850437
Germany,2012-12,20435788
Germany,2013-01,17522839
Germany,2013-02,19109161
Germany,2013-03,23680421
Germany,2013-04,25070918
Germany,2013-05,34737611
Germany,2013-06,34070710
Germany,2013-07,44328750
Germany,2013-08,45844494
Germany,2013-09,35928919
Germany,2013-10,33122184
Germany,2013-11,21625323
Germany,2013-12,20766659
Germany,2014-01,17901249
Germany,2014-02,19192369
Germany,2014-03,22891241
Germany,2014-04,28473543
Germany,2014-05,34300841
Germany,2014-06,37072112
Germany,2014-07,42575471
Germany,2014-08,48394056
Germany,2014-09,37232561
Germany,2014-10,34594583
Germany,2014-11,22382570
Germany,2014-12,22043856
Germany,2015-01,18389656
Germany,2015-02,20673327
Germany,2015-03,23883610
Germany,2015-04,28260432
Germany,2015-05,36902267
Germany,2015-06,36999438
Germany,2015-07,45526486
Germany,2015-08,49351481
Germany,2015-09,37976122
Germany,2015-10,35139112
Germany,2015-11,23299511
Germany,2015-12,22589383
Germany,2016-01,19241090
Germany,2016-02,21668003
Germany,2016-03,26828206
Germany,2016-04,27778721
Germany,2016-05,38016449
Germany,2016-06,36604523
Germany,2016-07,47153756
Germany,2016-08,48514508
Germany,2016-09,39690983
Germany,2016-10,36560502
Germany,2016-11,23696956
Germany,2016-12,23098174
Germany,2017-01,20045437
Germany,2017-02,21416188
Germany,2017-03,25470048
Germany,2017-04,32249471
Germany,2017-05,36509604
Germany,2017-06,41275936
Germany,2017-07,48330126
Germany,2017-08,49239488
Germany,2017-09,40690474
Germany,2017-10,36801351
Germany,2017-11,24543021
Germany,2017-12,24592074
Germany,2018-01,21073137
Germany,2018-02,22904817
Germany,2018-03,28049301
Germany,2018-04,31439099
Germany,2018-05,40576707
Germany,2018-06,41134500
Germany,2018-07,51135052
Germany,2018-08,50977416
Germany,2018-09,42210633
Germany,2018-10,38255123
Germany,2018-11,25963191
Germany,2018-12,25837308
Germany,2019-01,21831852
Germany,2019-02,23381703
Germany,2019-03,27907030
Germany,2019-04,35333543
Germany,2019-05,39261263
Germany,2019-06,45679059
Germany,2019-07,53511362
Germany,2019-08,52803502
Germany,2019-09,42696566
Germany,2019-10,40355536
Germany,2019-11,27422337
Germany,2019-12,26771095
