Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%,-9999
1,Auston Matthews,26,TOR,C,61,54,26,80,21,4,11.5,39,15,0,8,16,9,1,261,20.7,1286,21:05,71,67,548,475,53.6,matthau01
2,Sam Reinhart,28,FLA,C,63,45,30,75,20,23,10.5,15,25,5,9,25,5,0,173,26.0,1277,20:16,54,44,200,239,45.6,reinhsa01
3,Zach Hyman,31,EDM,LW,59,42,19,61,26,40,8.8,30,12,0,5,15,4,0,211,19.9,1157,19:36,31,57,7,8,46.7,hymanza01
4,Nathan MacKinnon,28,COL,C,64,40,69,109,24,34,12.5,31,9,0,8,40,29,0,310,12.9,1464,22:52,54,49,471,541,46.5,mackina01
5,Nikita Kucherov,30,TBL,RW,62,38,67,105,0,16,11.7,26,12,0,6,37,30,0,255,14.9,1364,22:00,27,37,2,2,50.0,kucheni01
6,David Pastrnák,27,BOS,RW,64,38,52,90,21,45,11.0,27,11,0,4,31,21,0,313,12.1,1287,20:07,18,52,5,13,27.8,pastrda01
7,Brock Boeser,26,VAN,RW,64,35,28,63,23,6,8.0,20,15,0,4,22,6,0,169,20.7,1194,18:40,23,46,7,10,41.2,boesebr01
8,Artemi Panarin,32,NYR,LW,62,35,50,85,8,22,9.9,26,9,0,4,26,23,1,229,15.3,1253,20:13,11,15,1,9,10.0,panarar01
9,William Nylander,27,TOR,C,62,34,50,84,0,20,9.3,22,9,3,7,27,22,1,251,13.5,1236,19:57,21,24,39,45,46.4,nylanwi01
10,Sidney Crosby,36,PIT,C,60,32,31,63,12,28,7.8,24,8,0,3,22,9,0,215,14.9,1211,20:11,30,73,808,567,58.8,crosbsi01
11,Leon Draisaitl,28,EDM,C,60,32,48,80,20,64,9.3,17,15,0,6,32,14,2,165,19.4,1249,20:49,19,38,619,466,57.1,draisle01
12,Jonathan Marchessault,33,VEG,C,62,32,21,53,1,26,6.4,26,6,0,2,14,7,0,207,15.5,1097,17:41,18,76,6,15,28.6,audymjo01
13,Brayden Point,27,TBL,C,63,32,33,65,-16,12,6.8,22,10,0,8,21,12,0,177,18.1,1280,20:19,36,13,213,257,45.3,pointbr01
